Site_Name,Site_Number,Site_Code,Date,Latitude,Longitude
WreckCove,EDNA19-01,WRK02,15-Jul-19,44.604676,63.51658
ConrodBeach,EDNA19-02,CON,29-Jul-19,44.70122,63.17831
TaylorHeadBeach,EDNA19-03,TAE,30-Jul-19,44.8098,62.5602
TaylorHeadWest,EDNA19-04,TAW,12-Aug-19,44.8207,62.5723
Moosehead,EDNA19-05,MOS,13-Aug-19,44.9416,62.2655
FiftyAcreIsland,EDNA19-06,FAI,14-Aug-19,44.3922,64.2678
PleasantPoint,EDNA19-07,PLS,26-Aug-19,44.69287,63.06964
Rose Bay,EDNA19-08,RSE,29-Aug-19,44.28634,64.28413
CableIsland,EDNA19-09,CAB,10-Sep-19,44.74451,62.79285
FranksGeorge,EDNA19-10,FRK,26-Sep-19,44.59499,63.9453
