SampleID,Lat,Long
BB_1_16S,49.257957,-124.109095
BB_2_16S,49.257999,-124.109585
BB_3_16S,49.257991,-124.109544
BB_4_16S,49.257903,-124.10899
MB_1_16S,48.801554,-123.570539
MB_2_16S,48.801648,-123.570952
MB_3_16S,48.801679,-123.571303
MuB_1_16S,48.334459,-123.63146
MuB_2_16S,48.334533,-123.631314
MuB_3_16S,48.334548,-123.631248
MuB_4_16S,48.334521,-123.631511
PB_e1_16S,48.655015,-123.448266
PB_e2_16S,48.655083,-123.448277
PB_e3_16S,48.655118,-123.448278
PL_1_16S,49.224262,-123.94647
PL_2_16S,49.224139,-123.94645
PL_3_16S,49.22397,-123.946383
PL_4_16S,49.224202,-123.946501
SB_1_16S,48.634112,-123.478089
SB_2_16S,48.634164,-123.478003
SB_3_16S,48.634241,-123.477966
SS3_1_16S,48.756237,-123.556874
SS3_2_16S,48.756269,-123.557116
SS3_3_16S,48.756162,-123.556591
SS4_1_16S,48.764753,-123.562974
SS4_2_16S,48.764425,-123.56282
SS4_3_16S,48.764303,-123.562631
WS_1_16S,48.356813,-123.724801
WS_2_16S,48.356864,-123.724693
WS_3_16S,48.356912,-123.724607
WS_4_16S,48.356789,-123.724892
