site	Ammodytidae_Ammodytes_americanus_12S	Ammodytidae_Ammodytes_dubius_12S	Ammodytidae_Ammodytes_tobianus_12S	Anguillidae_Anguilla_rostrata_12S	Atherinopsidae_Menidia_menidia_12S	Chaetodontidae_Chaetodon_ocellatus_12S	Clupeidae1_CL1_species52_12S	Clupeidae_Alosa_aestivalis_12S	Clupeidae_Alosa_pseudoharengus_12S	Clupeidae_Clupea_harengus_12S	Cottidae3_CO3_species6_12S	Cottidae_Gymnocanthus_tricuspis_12S	Cottidae_Myoxocephalus_aenaeus_12S	Cottidae_Myoxocephalus_octodecemspinosus_12S	Cryptacanthodidae_Cryptacanthodes_giganteus_12S	Cyclopteridae2_CY2_species9_12S	Cyclopteridae_Cyclopterus_lumpus_12S	Fundulidae_Fundulus_diaphanus_12S	Fundulidae_Fundulus_heteroclitus_12S	Gadidae1_GA1_species11_12S	Gadidae3_GA3_species13_12S	Gadidae_Microgadus_tomcod_12S	Gadidae_Pollachius_virens_12S	Gasterosteidae_Apeltes_quadracus_12S	Gasterosteidae_Gasterosteus_aculeatus_12S	Gasterosteidae_Gasterosteus_wheatlandi_12S	Hemitripteridae_Hemitripterus_americanus_12S	Labridae_Tautogolabrus_adspersus_12S	Merlucciidae_Merluccius_bilinearis_12S	Moronidae_Morone_saxatilis_12S	Pholidae_Pholis_clemensi_12S	Pholidae_Pholis_gunnellus_12S	Phycidae_Urophycis_chuss_12S	Phycidae_Urophycis_tenuis_12S	Pleuronectidae3_PL3_species30_12S	Pleuronectidae_Pseudopleuronectes_americanus_12S	Scombridae_Scomber_scombrus_12S	Scophthalmidae_Scophthalmus_aquosus_12S	Sphyraenidae_Sphyraena_borealis_12S	Stichaeidae1_ST1_species44_12S	Stichaeidae_Lumpenus_lampretaeformis_12S	Syngnathidae_Syngnathus_fuscus_12S
TAW	0	0	3641	13216	0	0	0	0	10270	1235	1913	0	4385	0	0	0	0	0	0	0	215	22368	0	0	4262	0	0	98175	0	0	0	670	0	10342	0	364	3240	343	0	1559	0	620
PLS	0	0	167	6703	210	0	0	0	303	12446	9386	0	6319	0	0	0	324	0	0	0	0	59451	1570	0	96893	0	0	5490	567	0	0	0	1572	1485	0	0	0	0	0	614	0	965
TAE	0	0	2462	0	0	0	0	0	0	0	1091	0	132	0	309	0	0	0	0	0	0	721	0	0	0	0	0	1191	0	0	0	0	0	410	0	0	839	0	0	0	0	0
FRK	0	0	17570	2099	21813	0	0	0	367	1507	9488	0	2243	0	274	0	0	0	0	0	0	2091	1902	0	473	0	0	33842	0	0	1563	0	1276	1733	0	0	36055	0	0	718	138	762
RSE	0	0	0	26112	45620	419	0	0	222	12048	0	0	5219	0	0	0	0	0	60447	0	0	4338	866	21859	18446	859	0	1176	0	0	0	0	0	1222	0	0	1563	0	0	0	0	5681
MOS	0	0	105	3211	96	0	0	419	3192	1858	9828	329	5148	0	224	0	0	0	0	583	0	20690	0	0	7338	0	1190	15904	0	0	0	0	0	4063	0	0	9514	0	342	417	0	1144
FAI	375	0	59028	3071	0	0	0	0	803	37298	2862	0	1913	522	1584	0	0	0	1283	427	0	5517	333	0	5593	0	1325	22720	0	0	0	0	0	1192	0	0	17843	1389	0	0	0	238
WRK02	0	190	1379	4677	0	0	0	0	252	2369	4574	0	1252	358	1019	234	0	0	0	131	0	2621	4335	0	0	0	130	5133	0	0	0	0	0	809	210	0	0	0	0	247	0	699
CAB	0	0	2412	14636	25663	0	0	0	6792	2356	4621	0	597	0	4800	0	0	517	1334	0	0	11284	0	4468	17149	1414	647	3662	647	0	0	0	0	744	0	362	3548	671	370	0	935	0
CON	0	0	0	207	288	0	487	0	0	25131	5466	0	2622	0	0	249	0	0	9560	0	0	16379	1282	713	2251	0	0	10496	0	456	0	0	0	5029	0	505	1062	0	0	1311	0	0
