site	Agonidae_Hemitripterus_americanus_16S	Ammodytidae2_AM2_species12_16S	Ammodytidae3_AM3_species13_16S	Anguillidae_Anguilla_rostrata_16S	Atherinopsidae_Menidia_menidia_16S	Balistidae_Balistes_vetula_16S	Belonidae_Scomberesox_saurus_16S	Carangidae_Caranx_crysos_16S	Carangidae_Caranx_hippos_16S	Chaetodontidae_Chaetodon_ocellatus_16S	Clupeidae_Alosa_aestivalis_16S	Clupeidae_Alosa_pseudoharengus_16S	Clupeidae_Clupea_harengus_16S	Congridae_Conger_oceanicus_16S	Cottidae_Gymnocanthus_tricuspis_16S	Cottidae_Myoxocephalus_octodecemspinosus_16S	Cottidae_Myoxocephalus_quadricornis_16S	Cottidae_Myoxocephalus_scorpius_16S	Cryptacanthodidae_Cryptacanthodes_giganteus_16S	Fundulidae_Fundulus_heteroclitus_16S	Gadidae_Microgadus_tomcod_16S	Gadidae_Pollachius_virens_16S	Gasterosteidae_Apeltes_quadracus_16S	Gasterosteidae_Gasterosteus_aculeatus_16S	Gasterosteidae_Gasterosteus_wheatlandi_16S	Gasterosteidae_Pungitius_pungitius_16S	Labridae_Tautogolabrus_adspersus_16S	Merlucciidae_Merluccius_bilinearis_16S	Moronidae_Morone_saxatilis_16S	Osmeridae_Osmerus_mordax_16S	Pholidae_Pholis_gunnellus_16S	Phycidae_Urophycis_chuss_16S	Phycidae_Urophycis_tenuis_16S	Pleuronectidae5_PL5_species31_16S	Pleuronectidae_Hippoglossus_hippoglossus_16S	Scombridae_Scomber_scombrus_16S	Scophthalmidae_Scophthalmus_aquosus_16S	Stichaeidae_Lumpenus_lampretaeformis_16S	Syngnathidae_Syngnathus_fuscus_16S	Zoarcidae_Zoarces_americanus_16S
TAW	0	3447	0	577	0	0	0	1238	1486	1882	0	255	0	0	0	0	0	4671	0	0	24181	0	0	19067	0	0	247287	0	0	0	70000	0	15387	9760	0	3747	0	0	1328	0
PLS	0	184	0	0	274	0	2056	0	0	0	0	0	710	0	0	467	0	17593	0	1136	43167	718	0	190219	0	0	16604	0	0	371	123621	2596	804	18519	0	2705	0	0	522	0
TAE	7165	54467	5119	0	0	0	0	0	0	0	0	0	1105	0	2538	1148	588	48322	5726	0	20969	456	0	0	109	0	47490	0	1071	0	48123	0	2861	68471	0	44917	0	1176	0	0
FRK	938	16071	715	0	30647	0	9404	523	0	0	0	0	0	0	0	451	0	21927	0	0	2333	2474	0	2481	0	0	88029	0	0	0	144939	1088	1367	4678	0	99551	0	0	1498	0
RSE	0	0	0	0	129292	184	0	0	0	131	0	0	1044	0	0	0	0	0	0	108966	10491	570	74677	59100	356	1314	3505	0	0	0	0	0	3884	5811	0	8391	0	0	13991	0
MOS	775	1192	0	0	0	0	0	0	0	0	0	0	0	145	150	0	0	16017	0	0	29835	0	0	57197	0	0	46436	0	0	0	67828	0	7083	5239	0	19845	0	0	0	0
FAI	4589	75520	677	0	6643	0	0	0	0	0	0	0	4277	0	1010	0	0	2453	4259	5356	11503	528	0	9418	0	0	62169	334	0	0	94900	0	0	8608	0	37082	462	0	0	0
WRK02	1021	3628	0	0	0	0	0	0	0	0	0	0	914	0	0	0	0	54850	14262	0	12796	18402	0	0	0	0	50699	0	0	0	148035	0	5039	54969	1104	0	495	0	5557	656
CAB	0	5039	0	0	63860	0	0	0	0	0	768	0	0	0	0	0	0	11458	11660	2912	18942	421	11746	43766	0	0	21527	0	0	0	35675	0	0	10696	0	9747	0	3911	0	0
CON	0	1538	0	0	8163	0	2364	0	0	0	0	0	2956	0	0	0	0	10991	0	24375	30840	1798	0	15176	2102	0	36171	0	0	0	122024	0	10198	34759	0	2090	1529	0	0	0
