east_12S	east_16S	east_seining	east_eDNA
10	10	10	10
1	5	8	1
1	9	7	1
8	3	8	8
9	1	6	1
6	6	9	10
1	1	7	9
1	3	2	1
1	2	3	2
8	1	6	1
9	2	5	3
9	1	3	1
1	1	5	1
10	6	5	3
2	1	1	1
6	3	1	2
2	3	2	6
1	1	1	9
1	9	1	3
4	4	1	1
3	5	1	3
1	10	1	2
10	8	1	1
6	2	0	1
3	8	0	1
8	3	0	9
2	1	0	1
4	10	0	1
10	1	0	1
2	1	0	10
1	1	0	1
1	9	0	6
1	2	0	9
2	8	0	7
10	10	0	2
1	1	0	2
3	9	0	8
8	3	0	10
3	2	0	3
2	5	0	5
6	1	0	6
2	0	0	5
7	0	0	10
0	0	0	8
0	0	0	3
0	0	0	8
0	0	0	4
0	0	0	10
0	0	0	3
0	0	0	2
0	0	0	9
0	0	0	2
0	0	0	10
0	0	0	9
0	0	0	5
0	0	0	3
0	0	0	7
