"","CAB_01_12S","CAB_02_12S","CAB_03_12S","CON_01_12S","CON_02_12S","CON_03_12S","FAI_01_12S","FAI_02_12S","FAI_03_12S","FRK_01_12S","FRK_02_12S","FRK_03_12S","MOS_01_12S","MOS_02_12S","MOS_03_12S","PLS_01_12S","PLS_02_12S","PLS_03_12S","RSE_01_12S","RSE_02_12S","RSE_03_12S","TAE_01_12S","TAE_02_12S","TAE_03_12S","TAW_01_12S","TAW_02_12S","TAW_03_12S","WRK02_01_12S","WRK02_02_12S","WRK02_03_12S"
"CAB_01_12S",0,0,0,30.9150077661,30.9150077661,30.9150077661,123.530580104141,123.530580104141,123.530580104141,92.8848320584334,92.8848320584334,92.8848320584334,47.0959252126552,47.0959252126552,47.0959252126552,22.6689026818654,22.6689026818654,22.6689026818654,129.035594329039,129.035594329039,129.035594329039,19.7924876706697,19.7924876706697,19.7924876706697,19.4003617657997,19.4003617657997,19.4003617657997,59.4523054503039,59.4523054503039,59.4523054503039
"CAB_02_12S",0,0,0,30.9150077661,30.9150077661,30.9150077661,123.530580104141,123.530580104141,123.530580104141,92.8848320584334,92.8848320584334,92.8848320584334,47.0959252126552,47.0959252126552,47.0959252126552,22.6689026818654,22.6689026818654,22.6689026818654,129.035594329039,129.035594329039,129.035594329039,19.7924876706697,19.7924876706697,19.7924876706697,19.4003617657997,19.4003617657997,19.4003617657997,59.4523054503039,59.4523054503039,59.4523054503039
"CAB_03_12S",0,0,0,30.9150077661,30.9150077661,30.9150077661,123.530580104141,123.530580104141,123.530580104141,92.8848320584334,92.8848320584334,92.8848320584334,47.0959252126552,47.0959252126552,47.0959252126552,22.6689026818654,22.6689026818654,22.6689026818654,129.035594329039,129.035594329039,129.035594329039,19.7924876706697,19.7924876706697,19.7924876706697,19.4003617657997,19.4003617657997,19.4003617657997,59.4523054503039,59.4523054503039,59.4523054503039
"CON_01_12S",30.9150077661,30.9150077661,30.9150077661,0,0,0,93.1378247819789,93.1378247819789,93.1378247819789,61.9780958594533,61.9780958594533,61.9780958594533,76.9784216734816,76.9784216734816,76.9784216734816,8.66315387742412,8.66315387742412,8.66315387742412,99.3035845087143,99.3035845087143,99.3035845087143,50.4081269400265,50.4081269400265,50.4081269400265,49.7833269345981,49.7833269345981,49.7833269345981,28.8973391369965,28.8973391369965,28.8973391369965
"CON_02_12S",30.9150077661,30.9150077661,30.9150077661,0,0,0,93.1378247819789,93.1378247819789,93.1378247819789,61.9780958594533,61.9780958594533,61.9780958594533,76.9784216734816,76.9784216734816,76.9784216734816,8.66315387742412,8.66315387742412,8.66315387742412,99.3035845087143,99.3035845087143,99.3035845087143,50.4081269400265,50.4081269400265,50.4081269400265,49.7833269345981,49.7833269345981,49.7833269345981,28.8973391369965,28.8973391369965,28.8973391369965
"CON_03_12S",30.9150077661,30.9150077661,30.9150077661,0,0,0,93.1378247819789,93.1378247819789,93.1378247819789,61.9780958594533,61.9780958594533,61.9780958594533,76.9784216734816,76.9784216734816,76.9784216734816,8.66315387742412,8.66315387742412,8.66315387742412,99.3035845087143,99.3035845087143,99.3035845087143,50.4081269400265,50.4081269400265,50.4081269400265,49.7833269345981,49.7833269345981,49.7833269345981,28.8973391369965,28.8973391369965,28.8973391369965
"FAI_01_12S",123.530580104141,123.530580104141,123.530580104141,93.1378247819789,93.1378247819789,93.1378247819789,0,0,0,34.1434391747423,34.1434391747423,34.1434391747423,170.113733150088,170.113733150088,170.113733150088,100.910297580156,100.910297580156,100.910297580156,11.8349111247534,11.8349111247534,11.8349111247534,143.288865343182,143.288865343182,143.288865343182,142.7678530992,142.7678530992,142.7678530992,64.2416243990055,64.2416243990055,64.2416243990055
"FAI_02_12S",123.530580104141,123.530580104141,123.530580104141,93.1378247819789,93.1378247819789,93.1378247819789,0,0,0,34.1434391747423,34.1434391747423,34.1434391747423,170.113733150088,170.113733150088,170.113733150088,100.910297580156,100.910297580156,100.910297580156,11.8349111247534,11.8349111247534,11.8349111247534,143.288865343182,143.288865343182,143.288865343182,142.7678530992,142.7678530992,142.7678530992,64.2416243990055,64.2416243990055,64.2416243990055
"FAI_03_12S",123.530580104141,123.530580104141,123.530580104141,93.1378247819789,93.1378247819789,93.1378247819789,0,0,0,34.1434391747423,34.1434391747423,34.1434391747423,170.113733150088,170.113733150088,170.113733150088,100.910297580156,100.910297580156,100.910297580156,11.8349111247534,11.8349111247534,11.8349111247534,143.288865343182,143.288865343182,143.288865343182,142.7678530992,142.7678530992,142.7678530992,64.2416243990055,64.2416243990055,64.2416243990055
"FRK_01_12S",92.8848320584334,92.8848320584334,92.8848320584334,61.9780958594533,61.9780958594533,61.9780958594533,34.1434391747423,34.1434391747423,34.1434391747423,0,0,0,138.442642317703,138.442642317703,138.442642317703,70.3152946269589,70.3152946269589,70.3152946269589,43.6339423764086,43.6339423764086,43.6339423764086,112.338526801037,112.338526801037,112.338526801037,111.657525246159,111.657525246159,111.657525246159,34.0546545962397,34.0546545962397,34.0546545962397
"FRK_02_12S",92.8848320584334,92.8848320584334,92.8848320584334,61.9780958594533,61.9780958594533,61.9780958594533,34.1434391747423,34.1434391747423,34.1434391747423,0,0,0,138.442642317703,138.442642317703,138.442642317703,70.3152946269589,70.3152946269589,70.3152946269589,43.6339423764086,43.6339423764086,43.6339423764086,112.338526801037,112.338526801037,112.338526801037,111.657525246159,111.657525246159,111.657525246159,34.0546545962397,34.0546545962397,34.0546545962397
"FRK_03_12S",92.8848320584334,92.8848320584334,92.8848320584334,61.9780958594533,61.9780958594533,61.9780958594533,34.1434391747423,34.1434391747423,34.1434391747423,0,0,0,138.442642317703,138.442642317703,138.442642317703,70.3152946269589,70.3152946269589,70.3152946269589,43.6339423764086,43.6339423764086,43.6339423764086,112.338526801037,112.338526801037,112.338526801037,111.657525246159,111.657525246159,111.657525246159,34.0546545962397,34.0546545962397,34.0546545962397
"MOS_01_12S",47.0959252126552,47.0959252126552,47.0959252126552,76.9784216734816,76.9784216734816,76.9784216734816,170.113733150088,170.113733150088,170.113733150088,138.442642317703,138.442642317703,138.442642317703,0,0,0,69.3511055433422,69.3511055433422,69.3511055433422,175.990253598932,175.990253598932,175.990253598932,27.5096817813466,27.5096817813466,27.5096817813466,27.7145833905065,27.7145833905065,27.7145833905065,105.872245112871,105.872245112871,105.872245112871
"MOS_02_12S",47.0959252126552,47.0959252126552,47.0959252126552,76.9784216734816,76.9784216734816,76.9784216734816,170.113733150088,170.113733150088,170.113733150088,138.442642317703,138.442642317703,138.442642317703,0,0,0,69.3511055433422,69.3511055433422,69.3511055433422,175.990253598932,175.990253598932,175.990253598932,27.5096817813466,27.5096817813466,27.5096817813466,27.7145833905065,27.7145833905065,27.7145833905065,105.872245112871,105.872245112871,105.872245112871
"MOS_03_12S",47.0959252126552,47.0959252126552,47.0959252126552,76.9784216734816,76.9784216734816,76.9784216734816,170.113733150088,170.113733150088,170.113733150088,138.442642317703,138.442642317703,138.442642317703,0,0,0,69.3511055433422,69.3511055433422,69.3511055433422,175.990253598932,175.990253598932,175.990253598932,27.5096817813466,27.5096817813466,27.5096817813466,27.7145833905065,27.7145833905065,27.7145833905065,105.872245112871,105.872245112871,105.872245112871
"PLS_01_12S",22.6689026818654,22.6689026818654,22.6689026818654,8.66315387742412,8.66315387742412,8.66315387742412,100.910297580156,100.910297580156,100.910297580156,70.3152946269589,70.3152946269589,70.3152946269589,69.3511055433422,69.3511055433422,69.3511055433422,0,0,0,106.643924886822,106.643924886822,106.643924886822,42.3820972083604,42.3820972083604,42.3820972083604,41.8629752618265,41.8629752618265,41.8629752618265,36.784011805011,36.784011805011,36.784011805011
"PLS_02_12S",22.6689026818654,22.6689026818654,22.6689026818654,8.66315387742412,8.66315387742412,8.66315387742412,100.910297580156,100.910297580156,100.910297580156,70.3152946269589,70.3152946269589,70.3152946269589,69.3511055433422,69.3511055433422,69.3511055433422,0,0,0,106.643924886822,106.643924886822,106.643924886822,42.3820972083604,42.3820972083604,42.3820972083604,41.8629752618265,41.8629752618265,41.8629752618265,36.784011805011,36.784011805011,36.784011805011
"PLS_03_12S",22.6689026818654,22.6689026818654,22.6689026818654,8.66315387742412,8.66315387742412,8.66315387742412,100.910297580156,100.910297580156,100.910297580156,70.3152946269589,70.3152946269589,70.3152946269589,69.3511055433422,69.3511055433422,69.3511055433422,0,0,0,106.643924886822,106.643924886822,106.643924886822,42.3820972083604,42.3820972083604,42.3820972083604,41.8629752618265,41.8629752618265,41.8629752618265,36.784011805011,36.784011805011,36.784011805011
"RSE_01_12S",129.035594329039,129.035594329039,129.035594329039,99.3035845087143,99.3035845087143,99.3035845087143,11.8349111247534,11.8349111247534,11.8349111247534,43.6339423764086,43.6339423764086,43.6339423764086,175.990253598932,175.990253598932,175.990253598932,106.643924886822,106.643924886822,106.643924886822,0,0,0,148.824758572448,148.824758572448,148.824758572448,148.409006655284,148.409006655284,148.409006655284,70.6004207410222,70.6004207410222,70.6004207410222
"RSE_02_12S",129.035594329039,129.035594329039,129.035594329039,99.3035845087143,99.3035845087143,99.3035845087143,11.8349111247534,11.8349111247534,11.8349111247534,43.6339423764086,43.6339423764086,43.6339423764086,175.990253598932,175.990253598932,175.990253598932,106.643924886822,106.643924886822,106.643924886822,0,0,0,148.824758572448,148.824758572448,148.824758572448,148.409006655284,148.409006655284,148.409006655284,70.6004207410222,70.6004207410222,70.6004207410222
"RSE_03_12S",129.035594329039,129.035594329039,129.035594329039,99.3035845087143,99.3035845087143,99.3035845087143,11.8349111247534,11.8349111247534,11.8349111247534,43.6339423764086,43.6339423764086,43.6339423764086,175.990253598932,175.990253598932,175.990253598932,106.643924886822,106.643924886822,106.643924886822,0,0,0,148.824758572448,148.824758572448,148.824758572448,148.409006655284,148.409006655284,148.409006655284,70.6004207410222,70.6004207410222,70.6004207410222
"TAE_01_12S",19.7924876706697,19.7924876706697,19.7924876706697,50.4081269400265,50.4081269400265,50.4081269400265,143.288865343182,143.288865343182,143.288865343182,112.338526801037,112.338526801037,112.338526801037,27.5096817813466,27.5096817813466,27.5096817813466,42.3820972083604,42.3820972083604,42.3820972083604,148.824758572448,148.824758572448,148.824758572448,0,0,0,1.54379260285331,1.54379260285331,1.54379260285331,79.1436225446914,79.1436225446914,79.1436225446914
