"","CAB_01_12S","CAB_02_12S","CAB_03_12S","CON_01_12S","CON_02_12S","CON_03_12S","FAI_01_12S","FAI_02_12S","FAI_03_12S","FRK_01_12S","FRK_02_12S","FRK_03_12S","MOS_01_12S","MOS_02_12S","MOS_03_12S","PLS_01_12S","PLS_02_12S","PLS_03_12S","RSE_01_12S","RSE_02_12S","RSE_03_12S","TAE_01_12S","TAE_02_12S","TAE_03_12S","TAW_01_12S","TAW_02_12S","TAW_03_12S","WRK02_01_12S","WRK02_02_12S","WRK02_03_12S"
"CAB_01_12S",0,0,0,33.5063949873802,33.5063949873802,33.5063949873802,127.163339638164,127.163339638164,127.163339638164,110.772282751411,110.772282751411,110.772282751411,48.8763924217919,48.8763924217919,48.8763924217919,24.6227065260819,24.6227065260819,24.6227065260819,132.422540640279,132.422540640279,132.422540640279,19.6068951070266,19.6068951070266,19.6068951070266,19.2605215268939,19.2605215268939,19.2605215268939,62.2111819618311,62.2111819618311,62.2111819618311
"CAB_02_12S",0,0,0,33.5063949873802,33.5063949873802,33.5063949873802,127.163339638164,127.163339638164,127.163339638164,110.772282751411,110.772282751411,110.772282751411,48.8763924217919,48.8763924217919,48.8763924217919,24.6227065260819,24.6227065260819,24.6227065260819,132.422540640279,132.422540640279,132.422540640279,19.6068951070266,19.6068951070266,19.6068951070266,19.2605215268939,19.2605215268939,19.2605215268939,62.2111819618311,62.2111819618311,62.2111819618311
"CAB_03_12S",0,0,0,33.5063949873802,33.5063949873802,33.5063949873802,127.163339638164,127.163339638164,127.163339638164,110.772282751411,110.772282751411,110.772282751411,48.8763924217919,48.8763924217919,48.8763924217919,24.6227065260819,24.6227065260819,24.6227065260819,132.422540640279,132.422540640279,132.422540640279,19.6068951070266,19.6068951070266,19.6068951070266,19.2605215268939,19.2605215268939,19.2605215268939,62.2111819618311,62.2111819618311,62.2111819618311
"CON_01_12S",33.5063949873802,33.5063949873802,33.5063949873802,0,0,0,99.6127256511355,99.6127256511355,99.6127256511355,83.2216687643825,83.2216687643825,83.2216687643825,81.7995223059874,81.7995223059874,81.7995223059874,8.88368846129831,8.88368846129831,8.88368846129831,104.87192665325,104.87192665325,104.87192665325,52.3526961546155,52.3526961546155,52.3526961546155,52.5380505564217,52.5380505564217,52.5380505564217,32.0286481747412,32.0286481747412,32.0286481747412
"CON_02_12S",33.5063949873802,33.5063949873802,33.5063949873802,0,0,0,99.6127256511355,99.6127256511355,99.6127256511355,83.2216687643825,83.2216687643825,83.2216687643825,81.7995223059874,81.7995223059874,81.7995223059874,8.88368846129831,8.88368846129831,8.88368846129831,104.87192665325,104.87192665325,104.87192665325,52.3526961546155,52.3526961546155,52.3526961546155,52.5380505564217,52.5380505564217,52.5380505564217,32.0286481747412,32.0286481747412,32.0286481747412
"CON_03_12S",33.5063949873802,33.5063949873802,33.5063949873802,0,0,0,99.6127256511355,99.6127256511355,99.6127256511355,83.2216687643825,83.2216687643825,83.2216687643825,81.7995223059874,81.7995223059874,81.7995223059874,8.88368846129831,8.88368846129831,8.88368846129831,104.87192665325,104.87192665325,104.87192665325,52.3526961546155,52.3526961546155,52.3526961546155,52.5380505564217,52.5380505564217,52.5380505564217,32.0286481747412,32.0286481747412,32.0286481747412
"FAI_01_12S",127.163339638164,127.163339638164,127.163339638164,99.6127256511355,99.6127256511355,99.6127256511355,0,0,0,34.910233821227,34.910233821227,34.910233821227,175.456466956771,175.456466956771,175.456466956771,104.937376118327,104.937376118327,104.937376118327,12.5892143981928,12.5892143981928,12.5892143981928,146.0096408054,146.0096408054,146.0096408054,146.194995207206,146.194995207206,146.194995207206,75.7758414217261,75.7758414217261,75.7758414217261
"FAI_02_12S",127.163339638164,127.163339638164,127.163339638164,99.6127256511355,99.6127256511355,99.6127256511355,0,0,0,34.910233821227,34.910233821227,34.910233821227,175.456466956771,175.456466956771,175.456466956771,104.937376118327,104.937376118327,104.937376118327,12.5892143981928,12.5892143981928,12.5892143981928,146.0096408054,146.0096408054,146.0096408054,146.194995207206,146.194995207206,146.194995207206,75.7758414217261,75.7758414217261,75.7758414217261
"FAI_03_12S",127.163339638164,127.163339638164,127.163339638164,99.6127256511355,99.6127256511355,99.6127256511355,0,0,0,34.910233821227,34.910233821227,34.910233821227,175.456466956771,175.456466956771,175.456466956771,104.937376118327,104.937376118327,104.937376118327,12.5892143981928,12.5892143981928,12.5892143981928,146.0096408054,146.0096408054,146.0096408054,146.194995207206,146.194995207206,146.194995207206,75.7758414217261,75.7758414217261,75.7758414217261
"FRK_01_12S",110.772282751411,110.772282751411,110.772282751411,83.2216687643825,83.2216687643825,83.2216687643825,34.910233821227,34.910233821227,34.910233821227,0,0,0,159.065410070018,159.065410070018,159.065410070018,88.5463192315741,88.5463192315741,88.5463192315741,44.2195863307251,44.2195863307251,44.2195863307251,129.618583918646,129.618583918646,129.618583918646,129.803938320453,129.803938320453,129.803938320453,59.384784534973,59.384784534973,59.384784534973
"FRK_02_12S",110.772282751411,110.772282751411,110.772282751411,83.2216687643825,83.2216687643825,83.2216687643825,34.910233821227,34.910233821227,34.910233821227,0,0,0,159.065410070018,159.065410070018,159.065410070018,88.5463192315741,88.5463192315741,88.5463192315741,44.2195863307251,44.2195863307251,44.2195863307251,129.618583918646,129.618583918646,129.618583918646,129.803938320453,129.803938320453,129.803938320453,59.384784534973,59.384784534973,59.384784534973
