"","BB_1_12S","BB_2_12S","BB_3_12S","BB_4_12S","MB_1_12S","MB_2_12S","MB_3_12S","MuB_1_12S","MuB_2_12S","MuB_3_12S","MuB_4_12S","PB_e1_12S","PB_e2_12S","PB_e3_12S","PL_1_12S","PL_2_12S","PL_3_12S","PL_4_12S","SB_1_12S","SB_2_12S","SB_3_12S","SS3_1_12S","SS3_2_12S","SS3_3_12S","SS4_1_12S","SS4_2_12S","SS4_3_12S","WS_1_12S","WS_2_12S","WS_3_12S","WS_4_12S"
"BB_1_12S",0,0,0,0,68.662117571816,68.662117571816,68.662117571816,150.775250303436,150.771595470912,150.768721637223,150.782420902594,87.7293961002691,87.727826049058,87.7273862280125,13.3737567326122,13.3737567326122,13.3737567326122,13.3737567326122,88.824476713268,88.8266389823882,88.824356176274,73.8965312564977,73.8965312564977,73.8965312564977,73.5252905986718,73.508152858909,73.4926514317933,161.145553902256,161.155245066538,161.163329662531,161.138326695603
"BB_2_12S",0,0,0,0,68.6976797667478,68.6976797667478,68.6976797667478,150.810812498368,150.807157665844,150.804283832155,150.817983097526,87.7649582952009,87.7633882439899,87.7629484229443,13.409318927544,13.409318927544,13.409318927544,13.409318927544,88.8600389081998,88.86220117732,88.8599183712058,73.9320934514295,73.9320934514295,73.9320934514295,73.5608527936037,73.5437150538408,73.5282136267251,161.181116097188,161.19080726147,161.198891857462,161.173888890535
"BB_3_12S",0,0,0,0,68.6947119932384,68.6947119932384,68.6947119932384,150.807844724859,150.804189892334,150.801316058646,150.815015324017,87.7619905216915,87.7604204704804,87.7599806494349,13.4063511540346,13.4063511540346,13.4063511540346,13.4063511540346,88.8570711346904,88.8592334038106,88.8569505976964,73.9291256779201,73.9291256779201,73.9291256779201,73.5578850200942,73.5407472803314,73.5252458532157,161.178148323679,161.18783948796,161.195924083953,161.170921117026
"BB_4_12S",0,0,0,0,68.6546495375741,68.6546495375741,68.6546495375741,150.767782269194,150.76412743667,150.761253602982,150.774952868352,87.7219280660272,87.7203580148162,87.7199181937707,13.3662886983703,13.3662886983703,13.3662886983703,13.3662886983703,88.8170086790261,88.8191709481463,88.8168881420321,73.8890632222558,73.8890632222558,73.8890632222558,73.51782256443,73.5006848246671,73.4851833975514,161.138085868015,161.147777032296,161.155861628289,161.130858661361
"MB_1_12S",68.662117571816,68.6976797667478,68.6947119932384,68.6546495375741,0,0,0,82.1132128726831,82.1095580401586,82.1066842064704,82.1203834718411,19.0673586695161,19.0657886183051,19.0653487972595,55.2894033913687,55.2894033913687,55.2894033913687,55.2894033913687,20.162439282515,20.1646015516352,20.162318745521,5.23449382574469,5.23449382574469,5.23449382574469,4.86325316791883,4.84611542815597,4.83061400104028,92.4835164715033,92.4932076357848,92.5012922317774,92.47628926485
"MB_2_12S",68.662117571816,68.6976797667478,68.6947119932384,68.6546495375741,0,0,0,82.1132128726831,82.1095580401586,82.1066842064704,82.1203834718411,19.0673586695161,19.0657886183051,19.0653487972595,55.2894033913687,55.2894033913687,55.2894033913687,55.2894033913687,20.162439282515,20.1646015516352,20.162318745521,5.23449382574469,5.23449382574469,5.23449382574469,4.86325316791883,4.84611542815597,4.83061400104028,92.4835164715033,92.4932076357848,92.5012922317774,92.47628926485
"MB_3_12S",68.662117571816,68.6976797667478,68.6947119932384,68.6546495375741,0,0,0,82.1132128726831,82.1095580401586,82.1066842064704,82.1203834718411,19.0673586695161,19.0657886183051,19.0653487972595,55.2894033913687,55.2894033913687,55.2894033913687,55.2894033913687,20.162439282515,20.1646015516352,20.162318745521,5.23449382574469,5.23449382574469,5.23449382574469,4.86325316791883,4.84611542815597,4.83061400104028,92.4835164715033,92.4932076357848,92.5012922317774,92.47628926485
"MuB_1_12S",150.775250303436,150.810812498368,150.807844724859,150.767782269194,82.1132128726831,82.1132128726831,82.1132128726831,0,0,0,0,73.0498549543228,73.0482849031117,73.0478450820662,137.402536122989,137.402536122989,137.402536122989,137.402536122989,74.9750335170576,74.9771957861778,74.9749129800636,77.0569535417898,77.0569535417898,77.0569535417898,78.5069455418745,78.4898078021116,78.4743063749959,15.1893507683259,15.1990419326073,15.2071265286,15.1821235616726
"MuB_2_12S",150.771595470912,150.807157665844,150.804189892334,150.76412743667,82.1095580401586,82.1095580401586,82.1095580401586,0,0,0,0,73.0462001217983,73.0446300705873,73.0441902495418,137.398881290464,137.398881290464,137.398881290464,137.398881290464,74.9713786845331,74.9735409536533,74.9712581475392,77.0532987092654,77.0532987092654,77.0532987092654,78.5032907093501,78.4861529695872,78.4706515424715,15.1856959358015,15.1953871000829,15.2034716960755,15.1784687291482
"MuB_3_12S",150.768721637223,150.804283832155,150.801316058646,150.761253602982,82.1066842064704,82.1066842064704,82.1066842064704,0,0,0,0,73.0433262881101,73.041756236899,73.0413164158535,137.396007456776,137.396007456776,137.396007456776,137.396007456776,74.9685048508449,74.9706671199651,74.9683843138509,77.0504248755771,77.0504248755771,77.0504248755771,78.5004168756618,78.483279135899,78.4677777087833,15.1828221021132,15.1925132663946,15.2005978623873,15.1755948954599
"MuB_4_12S",150.782420902594,150.817983097526,150.815015324017,150.774952868352,82.1203834718411,82.1203834718411,82.1203834718411,0,0,0,0,73.0570255534808,73.0554555022697,73.0550156812242,137.409706722147,137.409706722147,137.409706722147,137.409706722147,74.9822041162156,74.9843663853358,74.9820835792216,77.0641241409478,77.0641241409478,77.0641241409478,78.5141161410325,78.4969784012696,78.4814769741539,15.1965213674839,15.2062125317653,15.214297127758,15.1892941608306
"PB_e1_12S",87.7293961002691,87.7649582952009,87.7619905216915,87.7219280660272,19.0673586695161,19.0673586695161,19.0673586695161,73.0498549543228,73.0462001217983,73.0433262881101,73.0570255534808,0,0,0,74.3566819198218,74.3566819198218,74.3566819198218,74.3566819198218,4.40390900598968,4.40607127510991,4.40378846899573,14.0110993386228,14.0110993386228,14.0110993386228,15.4610913387075,15.4439535989446,15.4284521718289,83.4201585531431,83.4298497174245,83.4379343134171,83.4129313464897
