"","WRK02","CON","TAE","TAW","MOS","FAI","PLS","RSE","CAB","FRK"
"WRK02",0,28.8973391369965,79.1436225446914,78.5806732971265,105.872245112871,64.2416243990055,36.784011805011,70.6004207410222,59.4523054503039,34.0546545962397
"CON",28.8973391369965,0,50.4081269400265,49.7833269345981,76.9784216734816,93.1378247819789,8.66315387742412,99.3035845087143,30.9150077661,61.9780958594533
"TAE",79.1436225446914,50.4081269400265,0,1.54379260285331,27.5096817813466,143.288865343182,42.3820972083604,148.824758572448,19.7924876706697,112.338526801037
"TAW",78.5806732971265,49.7833269345981,1.54379260285331,0,27.7145833905065,142.7678530992,41.8629752618265,148.409006655284,19.4003617657997,111.657525246159
"MOS",105.872245112871,76.9784216734816,27.5096817813466,27.7145833905065,0,170.113733150088,69.3511055433422,175.990253598932,47.0959252126552,138.442642317703
"FAI",64.2416243990055,93.1378247819789,143.288865343182,142.7678530992,170.113733150088,0,100.910297580156,11.8349111247534,123.530580104141,34.1434391747423
"PLS",36.784011805011,8.66315387742412,42.3820972083604,41.8629752618265,69.3511055433422,100.910297580156,0,106.643924886822,22.6689026818654,70.3152946269589
"RSE",70.6004207410222,99.3035845087143,148.824758572448,148.409006655284,175.990253598932,11.8349111247534,106.643924886822,0,129.035594329039,43.6339423764086
"CAB",59.4523054503039,30.9150077661,19.7924876706697,19.4003617657997,47.0959252126552,123.530580104141,22.6689026818654,129.035594329039,0,92.8848320584334
"FRK",34.0546545962397,61.9780958594533,112.338526801037,111.657525246159,138.442642317703,34.1434391747423,70.3152946269589,43.6339423764086,92.8848320584334,0
