"","WRK02","CON","TAE","TAW","MOS","FAI","PLS","RSE","CAB","FRK"
"WRK02",0,32.0286481747412,81.0574831290664,81.2428375308727,110.504309280438,75.775841421726,38.0590315518807,81.035042423841,62.2111819618311,59.384784534973
"CON",32.0286481747412,0,52.3526961546155,52.5380505564217,81.7995223059874,99.6127256511355,8.88368846129831,104.87192665325,33.5063949873802,83.2216687643825
"TAE",81.0574831290664,52.3526961546155,0,2.23484538274165,30.0332851085335,146.009640805399,43.4690076933172,151.268841807514,19.6068951070266,129.618583918646
"TAW",81.2428375308727,52.5380505564217,2.23484538274165,0,29.7921401605437,146.194995207206,43.6543620951234,151.454196209321,19.2605215268939,129.803938320453
"MOS",110.504309280438,81.7995223059874,30.0332851085335,29.7921401605437,0,175.456466956771,72.915833844689,180.715667958886,48.8763924217919,159.065410070018
"FAI",75.775841421726,99.6127256511355,146.009640805399,146.194995207206,175.456466956771,0,104.937376118327,12.5892143981928,127.163339638164,34.910233821227
"PLS",38.0590315518807,8.88368846129831,43.4690076933172,43.6543620951234,72.915833844689,104.937376118327,0,110.196577120442,24.6227065260819,88.5463192315741
"RSE",81.035042423841,104.87192665325,151.268841807514,151.454196209321,180.715667958886,12.5892143981928,110.196577120442,0,132.422540640279,44.2195863307252
"CAB",62.2111819618311,33.5063949873802,19.6068951070266,19.2605215268939,48.8763924217919,127.163339638164,24.6227065260819,132.422540640279,0,110.772282751411
"FRK",59.384784534973,83.2216687643825,129.618583918646,129.803938320453,159.065410070018,34.910233821227,88.5463192315741,44.2195863307252,110.772282751411,0
